Office ID,Office Name,Region
16350001,Ahmedabad GPO HO,NGR
16360004,Gandhinagar HO,NGR
16360008,Himmatnagar HO,NGR
16360005,Kalol HO,NGR
16360006,Mahesana HO,NGR
16360001,Navrangpura HO,NGR
16360003,Palanpur HO,NGR
16360007,Patan HO,NGR
16360002,Revdibazar HO,NGR
16370001,HRO Ahd,NGR
16610001,PMG Ahd,NGR
16480001,PAO Ahd,PAO
16300001,CO Ahd,CO
16410001,MMS Ahd,MMS
45500007,PCD Ahd,PCD Ahd
16360009,Amreli HO,SKR
16360010,Bhavnagar HO,SKR
16360014,Bhuj HO,SKR
16360011,Gondal HO,SKR
16360012,Jamnagar HO,SKR
16360013,Junagadh HO,SKR
16360015,Porbandar HO,SKR
16360016,Rajkot HO,SKR
16360017,Surendranagar HO,SKR
16370002,HRO Rajkot,SKR
16610002,PMG Rajkot.,SKR
45500008,PCD Rajkot,SKR
46560006,PED Ahd,PED Ahd
16360018,Anand HO,SGR
16360019,Bardoli HO,SGR
16360020,Bharuch HO,SGR
16360028,Dabhoi HO,SGR
16360024,Dahod HO,SGR
16360030,Fatehganj HO,SGR
16360025,Godhara HO,SGR
16360021,Kheda HO,SGR
16360022,Nadiad HO,SGR
16360026,Nanpura HO,SGR
16360023,Navsari HO,SGR
16360027,Surat HO,SGR
16360029,Varodara HO,SGR
16360031,Valsad HO,SGR
16370003,HRO Vadodara,SGR
16610003,PMG Vadodara,SGR
16690001,PTC Vadodara,SGR
16590001,PSD Rajkot,SKR
16270001,Ahmedabad CBO,NGR
10000016,Ahmedabad CSD,NGR
16260001,Foreign Post Ahd,NGR
16620001,RLO Ahmedabad,NGR
16690002,RMS AM Dn,NGR
16530001,Ahd City Dn.,NGR
16530002,Ahd GPO Dn.,NGR
16530007,Sabarkantha Dn.,NGR
16530004,Gandhinagar Dn.,NGR
16530005,Mahesana Dn.,NGR
16530003,Banaskantha Dn.,NGR
16530006,Patan Dn.,NGR
16530008,Amreli Dn.,SKR
16530009,Bhavnagar Dn.,SKR
16530013,Kutch Dn.,SKR
16530010,Gondal Dn.,SKR
16530011,Jamnagar Dn.,SKR
16530012,Junagadh Dn.,SKR
16530014,Porbandar Dn.,SKR
16530015,Rajkot Dn.,SKR
16530016,Surendranagar Dn.,SKR
16600002,RMS RJ Dn.,SKR
16530017,Anand Dn.,SGR
16530018,Bardoli Dn.,SGR
16530019,Bharuch Dn.,SGR
16530025,Vadodara West Dn.,SGR
16530022,Panchmahal Dn.,SGR
16530020,Kheda Dn.,SGR
16530023,Surat Dn.,SGR
16530024,Vadodara East Dn.,SGR
16530026,Valsad Dn.,SGR
16600003,RMS VD Dn.,SGR
16600001,RO Rajkot,SKR
16600004,RO-VDR,SGR
16690003,PTC-VDR,SGR
16530600,RMS AM Dn,NGR
16530601,RMS RJ Dn.,SKR
16530602,RMS VD Dn.,SGR
16690004,Trainer DCTC Surat,SGR
