HOA Code,Category,Description
120100101030100,CCS,BUSINESS POST
120100101060000,CCS,DIRECT POST
120100200220100,CCS,FEE RECIEVED FOR AADHAR UPDATION WORK AT HOS/SOS
120100101330000,CCS,MAGAZINE POST
120100800110000,CCS,MEDIA POST
120100800110100,CCS,MEDIA POST
120100101120100,CCS,POSTAGE REALISED IN CASH THROUGH E-POST SERVICES.
120100800010100,CCS,RETAIL POST
120100800011100,CCS,RETAIL POST
120100800011400,CCS,RETAIL POST
120100200230100,CCS,SERVICE CHARGE TO BE COLLECTED FROM UIDAI ON NEW AADHAR ENROLLMENT
120100800040100,CCS,SERVICE CHARGES ON E-PAYMENT.
120100800040200,CCS,SERVICE CHARGES ON E-PAYMENT.
120100800040400,CCS,SERVICE CHARGES ON E-PAYMENT.
120100800040600,CCS,SERVICE CHARGES ON E-PAYMENT.
120100800040700,CCS,SERVICE CHARGES ON E-PAYMENT.
120100108000000,CCS,SERVICE CHARGES ON SALE AND CANCELLATION OF RAILWAY TICKETS THROUGH POST OFFICES
120100200190000,CCS,TRANSACTION CHARGES RECEIVED FROM MEA FOR POPSK
120100101120200,CCS,POSTAGE REALISED IN CASH THROUGH E-POST SERVICES.
120100800011000,CCS,RETAIL POST
120100800040300,CCS,SERVICE CHARGES ON E-PAYMENT.
120100800600000,CCS,COMMISSION /SHARE DOP ON A/C OF SALE OF SOVEREIGN GOLD BONDS
120100200020000,FS,MANAGEMENT OF CASH CERTIFICATES
120100200010000,FS,MANAGEMENT OF SB GOVT SECURITIES
120100202020100,FS,Commission received from IPPB
120100101280100,IRGB,PRC FOR INTERNATIONAL APP EPACKET SERVICE
120100101250100,IRGB,PRC FOR INTERNATIONAL EXPRESS MAIL SERVICE(EMS)
120100101270100,IRGB,PRC FOR INTERNATIONAL LETTERS (REGISTERED)
120100101260100,IRGB,PRC FOR INTERNATIONAL PARCEL
120100800570100,CCS,INCOME/DOP SHARE ON A/C OF PMJJBY
120100105010000,CCS,Amt realised by sale of CRF stamps
120100800580100,CCS,SHARE of DOP PRADHAN MANTRI SURAKSHA BIMA YOJNA
120100901000000,IRGB,DEDUCT - NET PAYMENTS TO OTHER POSTAL ADMINISTRATI
120100101310100,MO,REVENUE OF REGISTERED LETTER/ARTICLE
120100101310200,MO,REVENUE OF REGISTERED LETTER/ARTICLE
120100101310400,MO,REVENUE OF REGISTERED LETTER/ARTICLE
120100101020100,MO,SPEED POST.
120100101020200,MO,SPEED POST.
120100101020400,MO,SPEED POST.
120100101020900,MO,SPEED POST.
120100101020800,MO,SPEED POST.
120100800480000,CCS,COMMISSION/UPFRONT CHARGES UNDER NEW PENSION SYSTEM
120100102100000,MO,COMMISSION ON EMO
120100102030000,MO,COMMISSION ON INDIAN POSTAL ORDERS
120100200120000,CCS,COMMISSION REALIZED ON A/C OF REVENUE STAMPS
120100800270000,CCS,CONTRIBUTION & RECOVERIES TOWRADS PENSION AND OTHER RETIREMENT BENEFITS
120100800210000,CCS,RECEIPTS UNDER CONTRIBUTORY HEALTH SCHEME FOR GOVT. SERVANTS
120100800440000,Parcel,DEDUCT REFUNDS
120100800180100,CCS,EXAMINATION FEE ETC.
120100200030000,FS,"MTCE, REVIVAL & SERVICE CHARGES R/O SILENT ACCOUNT"
120100800420100,MO,OTHER ITEMS.
120100800421300,MO,OTHER ITEMS.
120100800421400,MO,OTHER ITEMS.
120100800421500,MO,OTHER ITEMS.
120100800423200,MO,OTHER ITEMS.
120100800423500,MO,OTHER ITEMS.
120100200050000,MO,POST BOXES & BAGS
120100101160300,CCS,POSTAGE REALISED FOR SALE OF PHILATELIC STAMPS
120100101010100,MO,POSTAGE REALISED IN CASH FOR ORDINARY SERVICES
120100101010200,MO,POSTAGE REALISED IN CASH FOR ORDINARY SERVICES
120100101010300,MO,POSTAGE REALISED IN CASH FOR ORDINARY SERVICES
120100101010400,MO,POSTAGE REALISED IN CASH FOR ORDINARY SERVICES
120100101010600,MO,POSTAGE REALISED IN CASH FOR ORDINARY SERVICES
120100101010700,MO,POSTAGE REALISED IN CASH FOR ORDINARY SERVICES
120100101010800,MO,POSTAGE REALISED IN CASH FOR ORDINARY SERVICES
120100101011300,MO,POSTAGE REALISED IN CASH FOR ORDINARY SERVICES
120100101130300,MO,POSTAGE REALISED IN CASH THROUGH MAIL BUSINESS CENTRE FOR FREE POST SERVICES.
120100101200100,CCS,POSTAGE REALISED THROUGH SALE OF MY STAMPS
120100101100100,Parcel,POSTAGE REALISED THROUGH SALE OF POSTAGE STAMPS.
120100101101200,Parcel,POSTAGE REALISED THROUGH SALE OF POSTAGE STAMPS.
120100101101500,Parcel,POSTAGE REALISED THROUGH SALE OF POSTAGE STAMPS.
120100101101600,Parcel,POSTAGE REALISED THROUGH SALE OF POSTAGE STAMPS.
120100101101700,Parcel,POSTAGE REALISED THROUGH SALE OF POSTAGE STAMPS.
120100101230100,MO,PRC THROUGH REMOTELY MANAGED FRANKING MACHINES
120100101230200,MO,PRC THROUGH REMOTELY MANAGED FRANKING MACHINES
120100101230300,MO,PRC THROUGH REMOTELY MANAGED FRANKING MACHINES
120100800340000,CCS,PROCEEDS FROM SALE OF WASTE PAPER DEAD STOCK ETC.
120100800320000,MO,RECOVERIES ON ACCOUNT OF LOST DAMAGES ON INSURED ARTICLES
120100200100000,CCS,REGISTRATION FEE FOR CABLE T.V. OPERATORS & REGISTRANTS.
120100200060100,CCS,RENT & TAXES
120100800630000,CCS,REVENUE FROM CSC SERVICE
120100200260000,FS,REVENUE EARNED THROUGH  MISC.CHARGES ON ATM CARDS
120100200250000,FS,REVENUE EARNED THROUGH NEFT/RTGS IN CBS
120100800190100,CCS,SALE OF PUBLICATIONS & BLANK FORM ETC.
120100101110100,CCS,SALE 0F SERVICE STAMPS.
120100101110300,CCS,SALE 0F SERVICE STAMPS.
120100800370100,CCS,RECEIPTS ON ACCOUNT OF SALE OF SPECIAL STAMPS AND OTHER MATERIAL
120100800370200,CCS,RECEIPTS ON ACCOUNT OF SALE OF SPECIAL STAMPS AND OTHER MATERIAL
120100800370300,CCS,RECEIPTS ON ACCOUNT OF SALE OF SPECIAL STAMPS AND OTHER MATERIAL
120100800310000,CCS,SALE PROCEEDS OF INDENTITY CARDS & PLASTIC COVERS
120100101011200,MO,POSTAGE REALISED IN CASH FOR ORDINARY SERVICES
120100101101900,Parcel,POSTAGE REALISED THROUGH SALE OF POSTAGE STAMPS.
120100101240100,CCS,E.COMMERCE REVENUE RECEIPTS
120100101240200,CCS,E.COMMERCE REVENUE RECEIPTS
120100101241800,CCS,E.COMMERCE REVENUE RECEIPTS
120100101101400,Parcel,POSTAGE REALISED THROUGH SALE OF POSTAGE STAMPS.
120100101130100,MO,POSTAGE REALISED IN CASH THROUGH MAIL BUSINESS CENTRE FOR FREE POST SERVICES.
120100101130200,MO,POSTAGE REALISED IN CASH THROUGH MAIL BUSINESS CENTRE FOR FREE POST SERVICES.
120100200080100,CCS,RECOVERIES FROM OTHER GOVT. DEPARTMENTS FOR SERVICE RENDERED
120100201000000,IRGB,NET RECEIPTS FROM OTHER POSTAL ADMINISTRATIONS
120100101220100,Parcel,BUSINESS PARCEL
