Office ID,Name of Unit (HO/Division),Region,HOA,Description,APT Alloted,APT Consumed,e-lekha Consumed,Diff. (APT - e-Lekha),APT Consumed %,e-Lekha Consumed %
16530001,Ahd City Dn.,NGR,320101001030126,Philately Directorate-Advertising and Publicity,"1,00,000.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320101101030101,Postal Division-Salaires,"19,10,717.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320101101030105,Postal Division-Rewards,"27,615.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320101101030107,Postal Division-Allowances,"23,03,492.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320101101030119,Postal Division-Digital Equipment,"50,000.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320101101030129,Postal Division-Repair and Maintenance,"35,200.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320101101030149,Postal Division-Other Revenue Expenditure,"70,000.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320102003020211,In Service Training-Domestic Travel Expenses,"1,15,965.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320102003020213,In Service Training-Office Expenses,"20,000.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320102101010101,Existing Post Offices-Salaries,"6,55,49,990.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320102101010102,Existing Post Offices-Wages,"6,19,756.00","3,45,674.00",-,"3,45,674.00",55.78%,0.00%
16530001,Ahd City Dn.,NGR,320102101010105,Existing Post Offices-Rewards,"17,11,974.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320102101010107,Existing Post Offices-Allowances,"7,93,05,186.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320102101010113,Existing Post Offices-Office Expenses,"5,70,995.00","3,19,753.00",-,"3,19,753.00",56.00%,0.00%
16530001,Ahd City Dn.,NGR,320102101010114,"Existing Post Offices-Rent,Rates & Taxes for Land and Buidlings","7,51,968.00","7,40,665.00",-,"7,40,665.00",98.50%,0.00%
16530001,Ahd City Dn.,NGR,320102101010118,Existing Post Offices-Rent for Others,"15,000.00","7,260.00",-,"7,260.00",48.40%,0.00%
16530001,Ahd City Dn.,NGR,320102101010129,Existing Post Offices-Repairs and Maintenance,"2,34,591.00","1,03,884.00",-,"1,03,884.00",44.28%,0.00%
16530001,Ahd City Dn.,NGR,320102101010164,Existing Post Offices-Write off of losses,"2,78,174.00","2,52,714.00",-,"2,52,714.00",90.85%,0.00%
16530001,Ahd City Dn.,NGR,320102101100105,Gramin Dak Sevaks-Rewards,"2,33,782.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320102101100107,Gramin Dak Sevaks-Allowances,"62,69,192.00","-47,244.00",-,"-47,244.00",-0.75%,0.00%
16530001,Ahd City Dn.,NGR,320102103030324,Road Transfer Network_MNOP-Fuels and Lubricants,"90,000.00","81,666.00",-,"81,666.00",90.74%,0.00%
16530001,Ahd City Dn.,NGR,320103101010113,SBCO-Office Expenses,"40,000.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320103101030113,Small Savings Work-Office Expenses,"1,00,000.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320105053010127,Maintenance of Post Office Buildings-Minor Civil and Electrical Works,"9,72,840.00",400.00,-,400.00,0.04%,0.00%
16530001,Ahd City Dn.,NGR,320107101010004,Superannuation & Retirement Allowance-Pensionary Charges,"61,130.00","1,87,465.00",-,"1,87,465.00",306.67%,0.00%
16530001,Ahd City Dn.,NGR,320107102010004,Commuted Value of Pension-Pensionary Charges,"1,80,09,400.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320107104010104,Gratuities-Pensionary Charges,"62,29,454.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320107104010304,Gratuities to Extra Departmental Agents-Pensionary Charges,"10,31,504.00","1,50,000.00",-,"1,50,000.00",14.54%,0.00%
16530001,Ahd City Dn.,NGR,320107104010404,Payment of severance amount to GDS-Pensionary Charges,"4,74,407.00","22,500.00",-,"22,500.00",4.74%,0.00%
16530001,Ahd City Dn.,NGR,320107108010004,Leave Encashment Benefits-Pensionary Charges,"41,60,815.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,320107110010004,Govt. Contribution for defined contributory Pension Scheme-Pensionary Charges,"2,03,17,018.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,520100003020071,Buildings_ICT Equipment,"50,000.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,801606101010500,Advertisement and Publicity-PLI,"1,50,000.00",-,-,-,0.00%,0.00%
16530001,Ahd City Dn.,NGR,801606101020500,Advertisement and Publicity-RPLI,"30,000.00",-,-,-,0.00%,0.00%
16350001,Ahmedabad GPO HO,NGR,320103101030106,Small Savings Work-Medical Treatment,"2,10,000.00","1,87,427.00",-,"1,87,427.00",89.25%,0.00%
16350001,Ahmedabad GPO HO,NGR,320102101010128,Existing Post Offices-Professional Services,"3,00,000.00","68,580.00",-,"68,580.00",22.86%,0.00%
16350001,Ahmedabad GPO HO,NGR,320101101030111,Postal Division-Domestic Travel Expenses,"62,000.00","22,753.00",-,"22,753.00",36.70%,0.00%
16350001,Ahmedabad GPO HO,NGR,320102003020211,In Service Training-Domestic Travel Expenses,"37,035.00","37,035.00",-,"37,035.00",100.00%,0.00%
16350001,Ahmedabad GPO HO,NGR,320102101010149,Existing Post Offices-Other Revenue Expenditure,"1,00,000.00",-,-,-,0.00%,0.00%
16350001,Ahmedabad GPO HO,NGR,320103101030111,Small Savings Work-Domestic Travel Expenses,"46,500.00",-,-,-,0.00%,0.00%
16350001,Ahmedabad GPO HO,NGR,320103101010106,SBCO-Medical Treatment,"10,000.00",-,-,-,0.00%,0.00%
16350001,Ahmedabad GPO HO,NGR,320103101010119,SBCO-Digital Equipment,"7,000.00",-,-,-,0.00%,0.00%
16350001,Ahmedabad GPO HO,NGR,320105053010127,Maintenance of Post Office Buildings-Minor Civil and Electrical Works,"1,00,000.00","47,836.00",-,"47,836.00",47.84%,0.00%
16350001,Ahmedabad GPO HO,NGR,320101101030113,Postal Division-Office Expenses,"4,70,000.00","12,344.00",-,"12,344.00",2.63%,0.00%
