DDO Code,HO,Division,Region
102471,Ahmedabad GPO HO,Ahd City Dn.,NGR
102483,Gandhinagar HO,Gandhinagar Dn.,NGR
102486,Himmatnagar HO,Sabarkantha Dn.,NGR
102489,Kalol HO,Gandhinagar Dn.,NGR
102491,Mahesana HO,Mahesana Dn.,NGR
102494,Navrangpura HO,Ahd City Dn.,NGR
102496,Palanpur HO,Banaskantha Dn.,NGR
102497,Patan HO,Patan Dn.,NGR
102500,Revdibazar HO,Ahd City Dn.,NGR
303527,HRO Ahd,RMS AM Dn,NGR
307127,PMG Ahd,Ahd RO,NGR
102507,PAO Ahd,PAO,NGR
303518,CO Ahd,CO Ahd,NGR
303519,PSD RJ,PSD RJ,SKR
303520,MMS Ahd,MMS Ahd,NGR
303530,P&T Audit office Ahd,P&T Ahd,NGR
102505,PCD Ahd,PCD Ahd,NGR
102472,Amreli HO,Amreli Dn.,SKR
102476,Bhavnagar HO,Bhavnagar Dn.,SKR
102477,Bhuj HO,Kutch Dn.,SKR
102485,Gondal HO,Gondal Dn.,SKR
102487,Jamnagar HO,Jamnagar Dn.,SKR
102488,Junagadh HO,Junagadh Dn.,SKR
102498,Porbandar HO,Porbandar Dn.,SKR
102499,Rajkot HO,Rajkot Dn.,SKR
102502,Surendranagar HO,Surendranagar Dn.,SKR
303533,HRO Rajkot,RMS RJ Dn.,SKR
303531,PMG Rajkot.,RO Rajkot,SKR
102506,PCD Rajkot,PCD Rajkot,SKR
102473,Anand HO,Anand Dn.,SGR
102474,Bardoli HO,Bardoli Dn.,SGR
102475,Bharuch HO,Bharuch Dn.,SGR
102479,Dabhoi HO,Vadodara East Dn.,SGR
102480,Dahod HO,Panchmahal Dn.,SGR
102482,Fatehganj HO,Vadodara West Dn.,SGR
102484,Godhara HO,Panchmahal Dn.,SGR
102490,Kheda HO,Kheda Dn.,SGR
102492,Nadiad HO,Kheda Dn.,SGR
102493,Nanpura HO,Surat Dn.,SGR
102495,Navsari HO,Navsari Dn.,SGR
102501,Surat HO,Surat Dn.,SGR
102503,Varodara HO,Vadodara East Dn.,SGR
102504,Valsad HO,Valsad Dn.,SGR
303535,HRO Vadodara,RMS VD Dn.,SGR
303534,PMG Vadodara,RO-VDR,SGR
303536,PTC Vadodara,PTC-VDR,SGR
078117,PAO General,PAO General,PAO General
